outcome_id,cesi_measure,model,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
BPHIGH,meaning_cesi,OLS,0.3311165087488599,0.017355160023452262,9.954693611607563e-73,1487,38,4.380065189107328e-71,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
BPHIGH,meaning_cesi,State fixed effects,0.11600005797396071,0.04206590238566376,0.008992335029810231,1487,38,0.27684860263739486,CDC PLACES 2024,High Blood Pressure,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,practice_cesi,OLS,0.0203891631134873,0.012317775622905945,0.09801986290853976,2116,38,1,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,practice_cesi,State fixed effects,-0.016689304722430572,0.020139339680946066,0.4125928787837351,2116,38,1,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,meaning_cesi,OLS,-0.11480915826178847,0.013638671181897514,8.674946615464868e-17,1540,39,2.6024839846394603e-15,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CANCER,meaning_cesi,State fixed effects,-0.02197655452102496,0.019584890490481077,0.2688528581294484,1540,39,1,CDC PLACES 2024,Cancer (non-skin) or Melanoma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,practice_cesi,OLS,-0.1883927431119892,0.024301692735223285,1.3935510005695299e-14,2116,38,5.713559102335072e-13,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,practice_cesi,State fixed effects,-0.04043741270683132,0.031313700448105664,0.20458679211827174,2116,38,1,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,meaning_cesi,OLS,-0.029005247109483843,0.02852727183013435,0.3094304169943314,1540,39,1,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,meaning_cesi,State fixed effects,0.1120690299814958,0.050489663578572756,0.03248589413587777,1540,39,0.7796614592610664,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,practice_cesi,OLS,-0.029398672303167436,0.014605159386610693,0.044252398317113494,2116,38,0.7080383730738159,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,practice_cesi,State fixed effects,-0.01866479875816165,0.02094176585716725,0.3785430157193318,2116,38,1,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,meaning_cesi,OLS,-0.11147275107907936,0.016433713045286805,1.673543357378469e-11,1540,39,4.3512127291840194e-10,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,meaning_cesi,State fixed effects,-0.09692075581291264,0.01630199206089498,6.765877598231647e-7,1540,39,2.9093273672396083e-5,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,practice_cesi,OLS,-0.016711454505756413,0.01485942976295913,0.2608711537222514,2116,38,1,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,practice_cesi,State fixed effects,-0.001921344063514532,0.01791477870861658,0.9151707997525803,2116,38,1,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,meaning_cesi,OLS,0.010803868310224538,0.01692569288332156,0.5233661178019291,1540,39,1,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,meaning_cesi,State fixed effects,0.01477477910479746,0.035825598078934644,0.6823575776701183,1540,39,1,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,practice_cesi,OLS,0.03984060756112891,0.02190410089246732,0.06907375201392235,2116,38,1,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,practice_cesi,State fixed effects,-0.006284626121500449,0.015853690585097877,0.6940766543316278,2116,38,1,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,meaning_cesi,OLS,-0.20070534176409618,0.02433217121161139,3.410511841833998e-16,1540,39,9.890484341318594e-15,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,meaning_cesi,State fixed effects,-0.04926369058613273,0.012484075033484745,3.312291812442816e-4,1540,39,0.013249167249771265,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,practice_cesi,OLS,0.0325531232428378,0.012270305877322708,0.008037830952724567,2116,38,0.1446809571490422,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,practice_cesi,State fixed effects,-0.03895067992107804,0.011553730703913122,0.0017631891717178382,2116,38,0.06171162101012433,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,meaning_cesi,OLS,0.03645518106174679,0.013912054721101918,0.008869373354677131,1540,39,0.09756310690144844,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DIABETES,meaning_cesi,State fixed effects,-0.03824105508298795,0.022045343233936428,0.09090791721904212,1540,39,1,CDC PLACES 2024,Diabetes,Age-adjusted percentage of adults,Worse health / higher risk prevalence
HIGHCHOL,practice_cesi,OLS,0.17274000020517633,0.020203734043126545,2.372909269456096e-17,2052,37,1.0440800785606822e-15,CDC PLACES 2024,High Cholesterol,Age-adjusted percentage of adults,Worse health / higher risk prevalence
