outcome_id,cesi_measure,effect,beta,standard_error,p,n,n_states,p_holm,source,outcome,native_unit,higher_value_interpretation
CASTHMA,practice_cesi,Within state,-0.032440582158582996,0.012281344398349695,0.008316978375675792,2116,38,0.1944990574667204,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,practice_cesi,Between states,-0.36767060202697754,0.11447316603866432,0.0026865751673058654,2116,38,0.11283615702684635,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,meaning_cesi,Within state,0.08820930081089651,0.014463916411723607,1.3570151887738905e-9,1540,39,4.4781501229538385e-8,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CASTHMA,meaning_cesi,Between states,-0.396316813185997,0.11840544352311584,0.0018055676389430808,1540,39,0.06500043500195091,CDC PLACES 2024,Current Asthma,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,practice_cesi,Within state,-0.014436976664134103,0.010605129234144466,0.17355987804107115,2116,38,1,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,practice_cesi,Between states,-0.002745842296693027,0.0578037141357653,0.9623629913867563,2116,38,1,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,meaning_cesi,Within state,-0.07484584607827374,0.011822840795258348,3.20663532477397e-10,1540,39,1.1223223636708895e-8,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
CHD,meaning_cesi,Between states,0.003696519705809928,0.058715950865479496,0.9501182374183795,1540,39,1,CDC PLACES 2024,Coronary Heart Disease,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,practice_cesi,Within state,-9.441735661751002e-4,0.010408162782099977,0.9277280016632767,2116,38,1,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,practice_cesi,Between states,0.004416973987652406,0.06150823916517075,0.9431227486472062,2116,38,1,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,meaning_cesi,Within state,0.012082714118324499,0.01211537554153964,0.3187755732388275,1540,39,1,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
COPD,meaning_cesi,Between states,0.07154592440583667,0.06027449453040404,0.24210920800916713,1540,39,1,CDC PLACES 2024,COPD,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,practice_cesi,Within state,-0.004989164863356312,0.008038595628525397,0.534897099438187,2116,38,1,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
DEPRESSION,practice_cesi,Between states,-0.049531164008876964,0.10692125434212776,0.6458091488312466,2116,38,1,CDC PLACES 2024,Depression,Age-adjusted percentage of adults,Worse health / higher risk prevalence
