county_fips,county_population22,county_age22,county_income22,county_bachelor22,county_hs22
5135,17422,47.4,43332,0.115137578,0.84576957
5137,12393,49.5,37664,0.14438326,0.86134361
5139,38815,41.3,49745,0.184728041,0.87200393
5141,15900,49.7,45768,0.167558841,0.84433682
5143,247331,32.3,61985,0.344648573,0.8700037
5145,77118,38.3,51144,0.204836444,0.86345556
5147,6259,45.2,49608,0.165033052,0.8440848
5149,20342,40,55879,0.13805297,0.77383272
6001,1663823,38.4,122488,0.509373576,0.89212891
6003,1515,43,101125,0.396067416,0.93258427
6005,40577,49.6,74853,0.205636187,0.90495596
6007,213605,36.5,66085,0.308333213,0.90309815
6009,45674,52.1,77526,0.213967017,0.92553372
6011,21811,36,69619,0.142857143,0.73275801
6013,1162648,40.1,120020,0.444974242,0.89717187
6015,27462,40,61149,0.177155348,0.83199471
6017,191713,46.2,99246,0.379525859,0.94730188
6019,1008280,32.8,67756,0.233838678,0.78254846
6021,28657,35.8,64033,0.148687415,0.77807848
6023,136132,39.5,57881,0.310836218,0.91265009
6025,179578,32.6,53847,0.15916371,0.71270678
6027,18829,44.6,63417,0.289536309,0.93062667
6029,906883,32.2,63883,0.183200382,0.76550149
6031,152515,32.1,68540,0.147248748,0.74485718
6033,68024,44.5,56259,0.182122791,0.86633977
6035,31873,37.2,59515,0.120956873,0.80475067
6037,9936690,37.4,83411,0.345829239,0.80250042
6039,157243,34.4,73543,0.1715079,0.72053107
6041,260485,47.4,142019,0.611280766,0.93418422
6043,17130,51.6,60021,0.289282776,0.91855508
6045,91145,43.7,61335,0.239875389,0.86771634
6047,282290,31.5,64772,0.146448431,0.71441458
6049,8651,47.5,54962,0.238212256,0.8828137
6051,13219,40.5,82038,0.31709597,0.87162443
6053,437609,35.1,91043,0.270660699,0.73363624
6055,137384,42.5,105809,0.378389934,0.84397141
6057,102322,50.2,79395,0.388092194,0.95077651
6059,3175227,38.7,109361,0.427641551,0.86828911
6061,406608,42.3,109375,0.424411411,0.94947633
6063,19650,52.3,67885,0.211800998,0.94099501
6065,2429487,36.3,84505,0.240555834,0.83122271
6067,1579211,36.8,84010,0.326233458,0.88376046
6069,64753,35.7,104451,0.219976359,0.83690307
6071,2180563,33.9,77423,0.224217313,0.81394096
6073,3289701,36.7,96974,0.410468104,0.88712139
6075,851036,39.3,136689,0.597895473,0.88788449
6077,779445,34.8,82837,0.2030697,0.80232073
6079,281712,40,90158,0.379718985,0.92050737
6081,754250,40.3,149907,0.528787898,0.90581161
6083,445213,34.3,92332,0.356769381,0.8211529
6085,1916831,37.7,153792,0.553279584,0.89283177
6087,268571,39.2,104409,0.424801994,0.8871017
6089,181852,41.7,68347,0.227547466,0.9189575
6091,2916,54.9,61108,0.238772788,0.9355269
6093,44049,47.2,53898,0.219985063,0.90555175
6095,450995,38.8,97037,0.281996508,0.88878691
6097,488436,42.7,99266,0.378465891,0.89237736
6099,552063,34.5,74872,0.182177738,0.80329641
6101,99101,36,72654,0.206229034,0.79554058
6103,65484,40.3,59029,0.181700974,0.87082648
6105,15889,53.2,47317,0.191826655,0.95252131
6107,473446,31.5,64474,0.15617046,0.7349374
6109,54993,48.7,70432,0.244379486,0.92459242
6111,842009,39,102141,0.347128516,0.85369826
6113,217141,32,85097,0.432709137,0.87878506
6115,81705,33.5,66693,0.173585271,0.82662791
8001,520149,34.4,86297,0.271532386,0.84814576
8003,16460,32.2,52271,0.282145406,0.89813399
8005,654453,37.1,92292,0.449216919,0.92188739
8007,13509,50.8,66813,0.394355381,0.94518575
8009,3496,42,42115,0.243610224,0.85822684
8011,5561,40.7,45776,0.154982415,0.83399766
8013,328658,37,99770,0.632303589,0.95729521
8014,73946,38.6,117541,0.583816138,0.96260983
8015,19564,47.8,65703,0.414248872,0.93043198
8017,1726,43.2,65577,0.234285714,0.92979592
8019,9403,49.5,87169,0.550307471,0.96624362
