county_fips,pop_total,pop_density,area_land,median_income
8113,8082,6.281062,1286.725122,72829
8115,2391,4.362814,548.0407662,45855
8117,30955,50.88535,608.3284031,100611
8119,24758,44.4376,557.1408671,69655
8121,4817,1.912963,2518.083809,59087
8123,331466,83.17941,3984.952814,89182
8125,9938,4.203183,2364.398686,60118
9110,977165,951.1697,1027.329795,88190
9120,326381,2328.278,140.181295,83147
9130,175244,413.1994,424.1148422,99742
9140,451887,1094.729,412.7841951,82939
9150,95687,172.7539,553.8919254,83119
9160,112696,143.2621,786.6418285,87971
9170,571298,1555.954,367.1689351,83617
9180,280293,468.6115,598.1352068,80330
9190,620666,1166.409,532.1168994,118930
10001,182400,311.2304,586.0610443,69278
10003,570567,1338.301,426.3367151,85309
10005,240668,257.084,936.1455327,75406
11001,670587,10970.53,61.12622607,101722
12001,279729,319.4547,875.6453358,57566
12003,27969,47.79145,585.2301277,67872
12005,181055,238.6704,758.5983812,65999
12007,27816,94.62318,293.9660385,54759
12009,610723,601.7135,1014.973042,71308
12011,1940907,1613.511,1202.909345,70331
12013,13753,24.24135,567.3364355,41526
12015,189900,278.8064,681.1177442,62164
12017,155173,266.6563,581.9213865,52569
12019,219650,363.2994,604.5977541,82242
12021,380221,190.4106,1996.847602,82011
12023,69832,87.57713,797.3770751,53501
12027,34258,53.806,636.6947677,45000
12029,16737,23.73926,705.0345314,45057
12031,995708,1305.646,762.6172538,65579
12033,321296,489.0395,656.9940309,61642
12035,117515,241.7053,486.1913244,69251
12037,12276,22.52483,544.9986023,58107
12039,43746,84.71748,516.3750998,45721
12041,18070,51.67361,349.6949021,56823
12043,12179,15.09503,806.8220362,37221
12045,15002,27.1058,553.4608253,56250
12047,13492,26.23396,514.2952631,47668
12049,25528,40.03957,637.5693725,44665
12051,39902,34.5188,1155.94993,49259
12053,196621,415.7168,472.9686161,59202
12055,102339,100.5631,1017.65977,53679
12057,1468560,1436.242,1022.501652,70612
12059,19529,40.78256,478.8566434,46063
12061,160986,320.3526,502.5274619,67543
12063,47704,51.95211,918.230293,46144
12065,14458,24.17405,598.0794598,51573
12067,8107,14.92055,543.3447259,57852
12069,386829,406.4182,951.80045,66239
12071,772902,989.5978,781.0264078,69368
12073,294128,440.0296,668.4277456,61317
12075,43268,38.69237,1118.256671,49933
12077,7704,9.220127,835.5633586,51723
12079,17986,25.82233,696.5289167,43386
12081,405069,545.3552,742.7617425,71385
12083,378225,238.1136,1588.422223,55265
12085,159399,293.1086,543.8223806,77894
12086,2688237,1414.918,1899.924565,64215
12087,82044,83.46004,983.0333855,80111
12089,91538,141.1141,648.6808124,84085
12091,212021,228.0134,929.8619391,73988
12093,39870,51.82725,769.2864307,50476
12095,1427403,1580.866,902.9246838,72629
12097,393745,296.5969,1327.542682,64312
12099,1494805,760.9894,1964.291566,76066
12101,569211,762.4006,746.6035889,63187
12103,959918,3506.161,273.7803202,66406
12105,736229,409.4398,1798.137307,60901
12107,73604,101.0552,728.3541638,44852
12109,278722,464.041,600.6409543,100020
12111,334682,585.2379,571.8733894,66154
12113,188994,186.679,1012.400972,84715
12115,439392,790.2644,556.0063074,77213
12117,471321,1523.44,309.3794103,79490
12119,131832,236.6223,557.1409659,70105
12121,43881,63.72622,688.5862575,49729
12123,21421,20.53124,1043.336985,46239
12125,15524,63.73919,243.5550064,64043
12127,558520,507.231,1101.115761,63075
12129,33732,55.62498,606.4181301,72035
12131,76618,73.79192,1038.297913,74832
12133,25014,42.78261,584.6768093,47536
13001,18441,36.28245,508.2622838,43268
13003,8265,24.116,342.7184991,38007
13005,11138,39.20692,284.08249,43938
13007,2878,8.416254,341.9573403,45417
13009,43778,169.2235,258.6992805,54699
13011,18381,79.01847,232.6164909,69096
13013,84399,524.0982,161.0366195,75053
13015,109410,238.4133,458.9090112,74812
13017,17169,68.64365,250.1178044,38255
13019,18187,40.11457,453.3764697,48670
13021,156554,627.7662,249.3826659,48897
13023,12413,57.5,215.8782635,56021
13025,18105,40.84745,443.2345725,40166
13027,16275,32.99984,493.1842588,42263
13029,44995,102.8308,437.5635038,90627
13031,79829,118.0968,675.9626809,53675
13033,24337,29.42663,827.0399029,50321
13035,25522,138.9406,183.6899569,60076
13037,5594,19.9512,280.384113,48663
13039,55105,87.43047,630.2722515,68104
13043,10946,45.03427,243.0593624,45519
13045,120060,240.5363,499.1347049,66895
13047,68052,419.6531,162.1624934,68896
13049,12547,16.08411,780.0868637,45770
13051,296266,684.0304,433.1181766,66171
13053,9402,37.79896,248.7370042,52943
13055,24902,79.47615,313.3266965,43556
13057,268567,637.8021,421.0820189,100824
13059,128864,1080.168,119.2999998,48692
13061,2855,14.61076,195.4039509,43264
13063,296312,2090.302,141.7555541,56207
13065,6713,8.236853,814.995739,53350
13067,765813,2253.868,339.7772036,94244
13069,43056,72.69936,592.2473278,48398
13071,45813,83.74823,547.0324774,47235
13073,156921,540.7453,290.1939252,92571
13075,17242,75.47363,228.4506399,46706
13077,147449,334.298,441.0705718,90031
13079,12156,37.41295,324.9142591,56948
13081,20255,74.2812,272.6800093,47463
13083,16239,93.28677,174.0761363,59531
13085,27355,129.7503,210.8280965,84516
