county_fips,pop_total,White,pct_white,BlackAmerican ,pct_black,NativeAmerican,pct_native,AsianAmerican,pct_asian,NativeHawaiian_PI,pct_nativehawaiian,OtherRace,pct_otherrace,Multiracial,pct_multiracial,Latino,pct_latino
4025,237830,187377,0.787861077,1493,0.006277593,2636,0.011083547,2321,0.009759072,128,0.0005382,581,0.002442921,7214,0.030332591,36080,0.151704999
4027,204374,59640,0.291817942,3159,0.015456956,1653,0.008088113,2199,0.010759686,73,0.000357188,360,0.001761477,3909,0.019126699,133381,0.652631939
5001,17024,11613,0.682154605,4379,0.257225094,46,0.002702068,8,0.000469925,0,0,0,0,329,0.019325658,649,0.03812265
5003,19018,12850,0.675675676,4707,0.247502366,0,0,25,0.001314544,55,0.002891997,26,0.001367126,191,0.010043117,1164,0.061205174
5005,41801,38471,0.920336834,100,0.002392287,181,0.00433004,230,0.005502261,18,0.000430612,8,0.000191383,1675,0.040070812,1118,0.026745772
5007,286528,185091,0.645978753,5191,0.018116903,2172,0.007580411,11917,0.041591049,1963,0.006850988,1289,0.004498688,29184,0.10185392,49721,0.173529289
5009,37662,35027,0.93003558,123,0.003265891,115,0.003053476,165,0.004381074,2,5.31E-05,54,0.001433806,1087,0.028861983,1089,0.028915087
5011,10461,5703,0.545167766,2722,0.260204569,0,0,6,0.000573559,0,0,27,0.002581015,329,0.031450148,1674,0.160022942
5013,4773,3410,0.714435366,991,0.207626231,21,0.004399749,8,0.001676095,0,0,0,0,110,0.023046302,233,0.048816258
5015,28362,20772,0.732388407,103,0.00363162,264,0.009308229,346,0.012199422,330,0.011635287,33,0.001163529,2097,0.073936958,4417,0.155736549
5017,10234,3953,0.386261481,5483,0.535763142,4,0.000390854,26,0.002540551,0,0,0,0,140,0.013679891,628,0.061364081
5019,21469,14508,0.675765057,5142,0.239508128,12,0.000558945,140,0.00652103,9,0.000419209,13,0.000605524,553,0.02575807,1092,0.050864037
5021,14537,13682,0.941184564,98,0.006741418,35,0.002407649,6,0.00041274,0,0,0,0,600,0.041273991,116,0.007979638
5023,24948,23058,0.924242424,96,0.003848004,196,0.007856341,53,0.002124419,8,0.000320667,93,0.003727754,763,0.030583614,681,0.027296777
5025,7548,6339,0.839825119,992,0.131425543,2,0.000264971,0,0,0,0,0,0,215,0.028484367,0,0
5027,22707,13413,0.590698903,8082,0.355925486,44,0.001937728,104,0.004580085,6,0.000264236,11,0.000484432,366,0.016118378,681,0.029990752
5029,20782,16724,0.804734867,2290,0.110191512,75,0.003608892,85,0.004090078,0,0,22,0.001058608,676,0.032528149,910,0.043787893
5031,111038,81107,0.730443632,17988,0.161998595,349,0.003143068,1357,0.012221041,22,0.00019813,437,0.00393559,3704,0.03335795,6074,0.054701994
5033,60593,49452,0.816133877,697,0.011502979,598,0.009869127,790,0.01303781,12,0.000198043,281,0.004637499,3608,0.059544832,5155,0.085075834
5035,47945,19282,0.402169152,24003,0.500636146,65,0.00135572,367,0.007654604,0,0,2,4.17E-05,2802,0.058441965,1424,0.029700699
5037,16827,12140,0.721459559,3286,0.195281393,49,0.002911987,5,0.000297141,0,0,0,0,988,0.05871516,359,0.02133476
