county_fips,median_household_income_2022,median_household_income_moe_2022,population_25plus,high_school_or_higher_pct,bachelors_or_higher_pct,high_school_or_higher_count_moe,bachelors_or_higher_count_moe
05087,51514,5932,11654,84.96653509524627,12.313368800411876,658.8231932772252,271.39823138701547
05089,42891,4867,12875,87.73592233009708,15.23106796116505,671.2041418227393,331.16461163596574
05091,47613,3922,28953,86.68186371015094,15.601146686008358,1298.8614244791474,591.2689743255602
05093,50012,4432,26228,82.8236998627421,14.800976056123227,1160.7687108119344,546.559237411646
05095,41786,10996,4771,80.1928316914693,14.189897296164325,364.6669713588002,174.85708450045712
05097,47103,3596,6467,86.74810576774394,16.390907685170866,419.9118955209533,162.03394706048482
05099,43421,4219,5657,89.6057981262153,10.942195509987625,430.22203569784756,172.07265907168403
05101,50699,7025,5236,84.93124522536287,14.782276546982429,397.8089993954385,165.35416535424804
05103,47348,4748,15755,88.16248809901619,14.953982862583306,880.2073619324028,370.09998649013755
05105,53980,8161,7152,91.00950782997762,15.19854586129754,479.06680118747533,218.74642854227358
05107,37458,4178,10670,81.9962511715089,15.238987816307404,680.7760277800622,267.02996086581743
05109,49248,3312,7133,88.67236786765737,18.505537641945885,406.69767641332794,196.92384314754779
05111,43440,2999,15626,81.7931652374248,11.544861128887751,642.9245678926883,248.53772349484495
05113,48449,4945,13516,88.0364013021604,16.269606392423793,723.1479793237343,301.80291582421796
05115,51678,2387,41041,85.29762920006823,23.88099705172876,1508.0868675245467,787.9390839398691
05117,47045,6739,5994,85.58558558558559,15.98264931598265,385.4867053479277,179.8054504179448
05119,58326,1739,270873,92.05457908318658,37.041344098525876,4487.887364896762,2618.0446902220747
05121,45993,4649,12793,87.36809192527163,15.5475650746502,783.9980867323593,350.29987153865756
05123,39822,3288,16284,84.24220093343159,13.27069516089413,795.5872045225464,352.32229563284807
05125,73236,3192,86181,91.91469117322843,28.457548647613745,2225.8308561074446,1197.0902221637264
05127,45340,5707,6909,83.8326820089738,12.042263713996237,475.6458766771767,223.06052990163903
05129,42063,5502,5734,81.98465294733171,14.945936519009418,386.975451417787,174.26703646989583
05131,54047,2341,85873,85.03487708592922,23.92137225903369,2075.803940645648,1128.9871567028563
05133,53567,2723,9814,73.52761361320563,11.667006317505605,563.2557145737627,206.3371028196335
05135,43332,2537,12611,84.5769566251685,11.513757830465467,697.030128473655,257.00194551792794
05137,37664,8139,9080,86.13436123348018,14.438325991189428,711.7569809984304,296.7237772744207
05139,49745,5298,26493,87.20039255652436,18.472804136941832,1170.4204372788438,512.9502899891958
05141,45768,3226,11769,84.43368170617724,16.75588410230266,635.1629712129006,257.9418539128538
